question_id,failure_category,expected_answer,model_answer,expected_session_ids,retrieved_session_ids,error,latency_ms
58bf7951,wrong_retrieval,The Glass Menagerie,I don't know.,answer_355c48bb,answer_355c48bb;answer_355c48bb;answer_355c48bb;answer_355c48bb,,21981.2
6f9b354f,wrong_retrieval,a lighter shade of gray,I don't know.,answer_feb5200f,ultrachat_549317;0c0f2449_2;answer_feb5200f;ultrachat_549317,,23222.4
58ef2f1c,wrong_retrieval,February 14th,I don't know.,answer_59547700,answer_59547700;answer_59547700;answer_59547700;answer_59547700,,29899.9
f8c5f88b,wrong_retrieval,the sports store downtown,A sports store downtown.,answer_c3567066,answer_c3567066;answer_c3567066;answer_c3567066;answer_c3567066,,52633.8
5d3d2817,missing_fact,Marketing specialist at a small startup,I don't know.,answer_235eb6fb,sharegpt_BKl952A_23;sharegpt_BKl952A_23;sharegpt_BKl952A_23;ultrachat_371333,,7577.9
3b6f954b,wrong_retrieval,University of Melbourne in Australia,The University of Melbourne.,answer_94030872,answer_94030872;ultrachat_64326;ultrachat_294369;ultrachat_294369,,29950.8
726462e0,missing_fact,10%,I don't know.,answer_f38f679b,cdd9704d_1;741c6781_1;741c6781_1;5b83c26e_1,,153260.2
6b168ec8,wrong_retrieval,three,I don't know.,answer_e623ae87,answer_e623ae87;answer_e623ae87;answer_e623ae87;answer_e623ae87,,39229.1
b86304ba,wrong_retrieval,The painting is worth triple what I paid for it.,I don't know.,answer_645b0329,answer_645b0329;answer_645b0329;answer_645b0329;8e9425ef_1,,30142.4
d52b4f67,wrong_retrieval,The Grand Ballroom,I don't know.,answer_0df6aa4b,answer_0df6aa4b;answer_0df6aa4b;62a6d083;answer_0df6aa4b,,34778.3
25e5aa4f,wrong_retrieval,"University of California, Los Angeles (UCLA)",UCLA.,answer_986de8c3,answer_986de8c3;answer_986de8c3;answer_986de8c3;18807892_4,,25087.6
8550ddae,wrong_retrieval,lavender gin fizz,I don't know.,answer_c8354ae9,71cf5aeb_3;71cf5aeb_3;answer_c8354ae9;71cf5aeb_3,,28573.1
e01b8e2f,wrong_retrieval,Hawaii,I don't know.,answer_5ca6cd28,answer_5ca6cd28;86c5d31d;ultrachat_41805;86c5d31d,,26829.8
bc8a6e93,missing_fact,a lemon blueberry cake,I don't know.,answer_e6143162,b869d7ed_2;b869d7ed_2;ultrachat_453950;a1b3dd27_1,,27133.7
8a137a7f,wrong_retrieval,Philips LED bulb,I don't know.,answer_15d63a22,answer_15d63a22;answer_15d63a22;answer_15d63a22;answer_15d63a22,,27035.4
76d63226,wrong_retrieval,55-inch,55 inches.,answer_bbdc7b0a,answer_bbdc7b0a;cb289226_1;answer_bbdc7b0a;cb289226_1,,34350.5
86f00804,wrong_retrieval,The Seven Husbands of Evelyn Hugo,I don't know.,answer_96b8c9ee,answer_96b8c9ee;answer_96b8c9ee;answer_96b8c9ee;answer_96b8c9ee,,19917.3
