question_id,failure_category,expected_answer,model_answer,expected_session_ids,retrieved_session_ids,partial_recall,missing_expected_session_ids,error,latency_ms
6ade9755,wrong_retrieval,Serenity Yoga,I don't know.,answer_9398da02,answer_9398da02;ultrachat_270925;de5634fc_2;a200b713_4;ultrachat_62167,1.000,,,7384.0
58ef2f1c,wrong_retrieval,February 14th,February.,answer_59547700,answer_59547700;13f3da23_3;ultrachat_246324;e6ab6a7b_2;ultrachat_5212;e82ce7cd_1,1.000,,,5880.3
5d3d2817,wrong_retrieval,Marketing specialist at a small startup,I don't know.,answer_235eb6fb,sharegpt_ipLglky_48;e93efd9a_1;answer_235eb6fb;sharegpt_Qga4bRp_0;49b78a55_1;sharegpt_ebWP6Hz_0,1.000,,,7655.3
c960da58,wrong_retrieval,20,1 playlist,answer_e05e4612,answer_e05e4612;sharegpt_CdnyHep_0;89d3053f;sharegpt_uulGKeK_0;ultrachat_198948,1.000,,,11191.5
94f70d80,wrong_retrieval,4 hours,I don't know.,answer_c63c0458,answer_c63c0458;sharegpt_FvO2l0O_0;ec628e8d_2;2ae4f277_1;ultrachat_172828,1.000,,,7342.7
75499fd8,wrong_retrieval,Golden Retriever,I don't know.,answer_723bf11f,answer_723bf11f;sharegpt_mMNr1qm_0;ultrachat_428593;533372c8_3;sharegpt_WetAHhj_0,1.000,,,5080.5
b86304ba,wrong_retrieval,The painting is worth triple what I paid for it.,I don't know,answer_645b0329,sharegpt_xGoJZ6Z_0;answer_645b0329;8e9425ef_1;ae00973d_4;e831a29f_1;5cc9b056,1.000,,,10477.9
25e5aa4f,wrong_retrieval,"University of California, Los Angeles (UCLA)",I don't know.,answer_986de8c3,answer_986de8c3;18807892_4;478e02c2;sharegpt_SwdaeDm_15;sharegpt_rqvR1Ep_0;sharegpt_Db9cdoK_0,1.000,,,5429.5
caf9ead2,wrong_retrieval,5 hours,I don't know.,answer_0714183a,answer_0714183a;sharegpt_3D3oQC0_213;f684ac4c_2;ultrachat_137778;sharegpt_Ekdr15j_0,1.000,,,11721.1
ccb36322,wrong_retrieval,Spotify,I don't know.,answer_f1fbb330,0e349efa;answer_f1fbb330;8b1019b8_1;facfdfe2;ultrachat_203880;28a45124,1.000,,,7533.8
86f00804,wrong_retrieval,The Seven Husbands of Evelyn Hugo,"Matching facts:
- The user mentioned reading ""The Last House Guest"" by Megan Miranda.

Sub-answer: The title of the book you are currently reading is ""The Last House Guest"" by Megan Miranda.",answer_96b8c9ee,answer_96b8c9ee;0424a40a_2;60153a02_1;sharegpt_BAHXiar_14;sharegpt_ErOTMZ3_277,1.000,,,10156.3
4100d0a0,wrong_retrieval,A mix of Irish and Italian,I don't know.,answer_83c13ff9,answer_83c13ff9;8d068598;ultrachat_215071;sharegpt_Viy08ou_0;sharegpt_cD2Kgkn_11,1.000,,,6225.8
1faac195,wrong_retrieval,Denver,I don't know.,answer_d01949bf,answer_d01949bf;d2905eb6_2;2def525b_2;b2543a58_3;94f460be_1,1.000,,,8777.8
0862e8bf_abs,wrong_retrieval,You did not mention this information. You mentioned your cat Luna but not your hamster.,I don't know.,answer_c6fd8ebd_abs,answer_c6fd8ebd_abs;ultrachat_404562;sharegpt_Sionhxj_245;sharegpt_StUzdLK_227;ultrachat_460804,1.000,,,5520.1
15745da0_abs,wrong_retrieval,You did not mention this information. You mentioned collecting vintage cameras but not vintage films.,I don't know.,answer_586de428_abs,f8501ef5_2;be976c82_1;3a667084_2;answer_586de428_abs;375e27b9_2;e839253d,1.000,,,7356.9
bc8a6e93_abs,wrong_retrieval,You did not mention this information. You mentioned baking for your niece's birthday party but not your uncle's,I don't know.,answer_e6143162_abs,answer_e6143162_abs;375354d1_2;sharegpt_SF6KWw1_9;9c68c22f;31f3f40d_4;ba944cdc,1.000,,,5360.4
19b5f2b3_abs,wrong_retrieval,"You did not mention this information. You mentioned staying in Japan, but not in Korea.",I don't know.,answer_5ff494b9_abs,answer_5ff494b9_abs;e44a5733_1;61e0ba9b_1;d0b0dabe;sharegpt_oPOTyid_28;e6640284_1,1.000,,,7061.4
